[AVG.LOG.SM] ALL 2020-08-13 18:11:32,290 DESKTOP-RLVRLAB PID:10412 THID:10572 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000140718782329488bAJRuW1LODNZ2Dq+4X8Q2ErhCbysilT0+E7HE7I2NLtnP7o5adtue7IWrBYlECWtgpPrTlpWaLVCy2MHoi6ForLPSjkxUsitwH5qA8h6x09BeSk5bjsFA99VUTsrzY/R+w9ftNfLrYZIYySGO8WuBUcXmGiwNazeIK3105x10OhcbkPzAIYKg+eZm/I4Es/74OtMpAL6Z1KAn7FXtS8FoLKzux49+MjDOn7ftzEX/42sF/fj8bmGrRCEVXFe7OLEqgqgBL2wZvcklcw6Wd8Tpx4G2VHVY0Pnpx7ERu10ChfzP2xoEYLGLktAOgVIH+K7ZB/cbgQcROK7sL03tZpqtchw=
[FMW.LIGHT] ERROR 2020-08-13 18:16:00,025 DESKTOP-RLVRLAB PID:10412 THID:10592 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCIZsFf7ccODXIAWJ0TgJeuf38RmN8NhWZaEjtg==
[FMW.LIGHT] ERROR 2020-08-13 18:18:02,947 DESKTOP-RLVRLAB PID:10412 THID:15336 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBwx2NG2tC6ga3UAfXwGC6/N/uJ6vKlVq+qTvuvZlz5FqV8TGSO9hrpoUm2FmJmRFXnTpgxkaPu0E1IPDG2SDJjwLNwIJzwCtGbUmSg==
[FMW.LIGHT] ERROR 2020-08-13 18:18:02,947 DESKTOP-RLVRLAB PID:10412 THID:15336 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBORTKdJ/vvifuiCiWS7XEK/928lNnwSS6nk0lA==
[FMW.LIGHT] ERROR 2020-08-13 18:21:10,576 DESKTOP-RLVRLAB PID:10412 THID:10592 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBtfKZVsoBgOHDwaOEdGmLGLazQXrOAvPxpEFy3q8fyQIG8RL4bjHKz56USheCxsmWm+gKP434Y9LEhKPV4Chw9LQi1M/Sg0GhGdg2w==
[FMW.LIGHT] ERROR 2020-08-13 18:21:10,576 DESKTOP-RLVRLAB PID:10412 THID:10592 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBtfKf0EuClSHYy6aGNCyK2mc7Qm3bUn1vvN0sA==
[FMW.LIGHT] ERROR 2020-08-13 18:21:27,472 DESKTOP-RLVRLAB PID:10412 THID:10592 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCYTZ21LLxgk69EB3YUVRcCcRTSNQSi95s3JU2x9yqQE3TEdrxcnkw21t5sFQyz3fJiRG8V3MdrhKjlCp54//tbaDmO02qc0MOZwmIg==
[FMW.LIGHT] ERROR 2020-08-13 18:21:27,472 DESKTOP-RLVRLAB PID:10412 THID:10592 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBwx2LnerB/8asWgLVgCW7Pg5mJLzfxdQgsaewQ==
[AVG.LOG.SM] ALL 2020-08-13 18:40:42,226 DESKTOP-RLVRLAB PID:11824 THID:5552 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000140706960355984bAJEdpAIVFvEw/fXVHobpNXiF3EWUVUf69XaqDo08DvYsvE7TuJ5Guckq20W0erDCR8aY6LDp5a9Jj0GuKXLsgZS+2xp1Zf649giYnRrnCKM8BoX/j+ybFEfbAm/6EhXbEjeVlOTVFbRXPPK/1KM11oVqB4ccuPpIJwPvArz9sjRqZvm0Tvum2EpcA4Bd16XJbCW2VMQDyPSIShfl5ajDFeojhY8nSv6rn0CliDITN6mX9H/pKwmz01EWhDF5NheVMo/UoiBVmvCkVzIBqrzi1fadVmveW9YegYaxehu2ai+JJC1bkYAo10HQ+1upBunN62oYOlMcSwFhUPMPXk2+wPA=
[FMW.LIGHT] ERROR 2020-08-13 18:40:42,304 DESKTOP-RLVRLAB PID:11824 THID:5552 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCIZsD+TafLfXTC2d2Dkdfeyx0RXRpZpsHcNSzWj60nRrnGfAYDYJlfCHcIab+V9oyUZEC/UDXYAcio4Iykx0JSKBLTmAuHey1CRLyA==
[FMW.LIGHT] ERROR 2020-08-13 18:40:42,304 DESKTOP-RLVRLAB PID:11824 THID:5552 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCrCXS+RB6kn4utHCNZ1UTvUUwPoYOx22wTEFtg==
[FMW.LIGHT] ERROR 2020-08-13 18:43:39,562 DESKTOP-RLVRLAB PID:11824 THID:5552 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCyImk5Zn/Q+0uZq6sREzkce6Irm5xJJVa0cDyes+EXjR6jCUEs04YD3ZReW88rX6hDlqQ8gd6GLgdowwf14/6qUlZ6XyBfYKt9H87w==
[FMW.LIGHT] ERROR 2020-08-13 18:43:39,562 DESKTOP-RLVRLAB PID:11824 THID:5552 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDkxXoCN41uJB6f/ppZMsYw/Jo4kP5PkxK6expQ==
[FMW.LIGHT] ERROR 2020-08-13 18:49:54,443 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCYTZ21LLxgk69EB3YUVRcCcRTSNQSi95s3JU2x9yqQE3TEdrxcnkw21t5sFQyz3fJiRG8V3MdrhKjlCp54//tbaDmO02qc0MOZwmIg==
[FMW.LIGHT] ERROR 2020-08-13 18:49:54,443 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aAQ5rill7DIYG4AwJWNbpyltbH9X66xwxq9U9pA==
[FMW.LIGHT] ERROR 2020-08-13 18:49:54,837 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDZralSWSgE8+9fX/LYLrKm3Xy873EapOreqO8ULjUH8YGSw3a9mvYAHuBvFWHnd68H6Qn+qNFneb3A+pGxLH4l+dm6NB8ItKPZ2Tqg==
[FMW.LIGHT] ERROR 2020-08-13 18:49:54,837 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBwx2LnerB/8asWgLVgCW7Pg5mJLzfxdQgsaewQ==
[FMW.LIGHT] ERROR 2020-08-13 18:51:30,148 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDMnXyfcWhisKWD+sMR2wCPPxhPNtlxDkn3J3AGIyEfA3a1WA3sJ5xPXMq2ehil/7bfll+2scRgO5qCs3iLooP7HOlv+TdI0uCTBZ+Q==
[FMW.LIGHT] ERROR 2020-08-13 18:51:30,148 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aD/kL00CgnAtU3JKjI/Kr48jyuS9bpBOxZ7qV5A==
[FMW.LIGHT] ERROR 2020-08-13 18:54:54,417 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBtfKZVsoBgOHDwaOEdGmLGLazQXrOAvPxpEFy3q8fyQIG8RL4bjHKz56USheCxsmWm+gKP434Y9LEhKPV4Chw9LQi1M/Sg0GhGdg2w==
[FMW.LIGHT] ERROR 2020-08-13 18:54:54,417 DESKTOP-RLVRLAB PID:11824 THID:12148 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBwx2LnerB/8asWgLVgCW7Pg5mJLzfxdQgsaewQ==
[FMW.LIGHT] ERROR 2020-08-13 19:37:29,278 DESKTOP-RLVRLAB PID:11824 THID:6640 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aA8raG73tndvnNg6MuGK1P5z8XoeXxbJLHtqzYY1DZWVaG6IP0HqBCwDM9XP3wCzqZE4baWp6vQeFagHnFZCrjlPNmy3Zj5be5F5o2Q==
[FMW.LIGHT] ERROR 2020-08-13 19:37:29,278 DESKTOP-RLVRLAB PID:11824 THID:6640 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aAQ5rill7DIYG4AwJWNbpyltbH9X66xwxq9U9pA==
[FMW.LIGHT] ERROR 2020-08-13 20:03:17,718 DESKTOP-RLVRLAB PID:11824 THID:8668 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDZralSWSgE8+9fX/LYLrKm3Xy873EapOreqO8ULjUH8YGSw3a9mvYAHuBvFWHnd68H6Qn+qNFneb3A+pGxLH4l+dm6NB8ItKPZ2Tqg==
[FMW.LIGHT] ERROR 2020-08-13 20:03:17,718 DESKTOP-RLVRLAB PID:11824 THID:8668 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDMnX0+0QinwKNBe4OBykD/i3pP8xwlLe5xAGew==
[FMW.LIGHT] ERROR 2020-08-13 20:07:59,751 DESKTOP-RLVRLAB PID:11824 THID:7484 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBUSkeamTf0Jn0zW1xRg2dDtvJoOQC5SuxDgAyM/v/pvJ48641yASVJ9JH2tx+WvTihMgBVbai1f26220WRd9gu9D5U/N8XRHZLtT4A==
[FMW.LIGHT] ERROR 2020-08-13 20:07:59,751 DESKTOP-RLVRLAB PID:11824 THID:7484 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aA8raAafrkYznWiaYsWOhOJe6fovLkPBxZrjCGg==
[AVG.LOG.SM] ALL 2020-08-14 13:39:25,002 DESKTOP-RLVRLAB PID:12200 THID:14036 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000140728651985552bAI2UE95E+eIUsN+VQ9nqgaCqSws6Jde6C+4H1mrapZT/AEClePu1LDANV1cHsFr4/1qWNnxCIa8R9KOhG0xf7tOsYMuZlj4pM7b+PPBULJowlvsXPp7T6frHUBPe0YeOwvDtNsTZexFq238kjfE9mwIpsxxWcADHAUBO/4Q7SNobzyK9O4MymzWAvP9VfjjVPK/uDlKrDLLFpJEusKuL/16N3GpHXtbL5ZEh99cSfeo568vqVywnzbWkC9YQ87EnXg9Q5NpQpE4xErC+dqUAIu7JvIVdFnSRgVnRQWiBCoF1jipfmiqDHDbKQVFh782li5asm8BJwZkcNKOGrGcTxy0=
[FMW.LIGHT] ERROR 2020-08-14 13:39:25,156 DESKTOP-RLVRLAB PID:12200 THID:14036 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aD/kLyVqmkFxUsLq3KvO/5MO0mSMH8VGLH9jknw619gJlYHSZaHGsQDZu0zzoxJGTiCekde6R2HNthw/tmJnI9UX+Sv8+xJtZV9jc4g==
[FMW.LIGHT] ERROR 2020-08-14 13:39:25,157 DESKTOP-RLVRLAB PID:12200 THID:14036 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aA8raAafrkYznWiaYsWOhOJe6fovLkPBxZrjCGg==
[FMW.LIGHT] ERROR 2020-08-14 13:39:26,635 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCrCXUf5H5h741vnWPJxASf5S4PZEbl+MuVN0zdoVJxpTY/q4YBTYIvfZDj+V2QC3ir8FqBLnosVKXqXYoegcwue31meaJe0b+76fgw==
[FMW.LIGHT] ERROR 2020-08-14 13:39:26,635 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aALNbi3V8qar5qA1UqxGWFG6s9u5+FZXA7mjcvw==
[FMW.LIGHT] ERROR 2020-08-14 13:39:35,280 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBORTM8h5sq+f1gi2UC/DF6S7+8URykaokhtF7/30LMb6bBZQmWR2b1q+7xKPhdK/lDyJVz433cNfBtg3SaEobq7jEgWsG7mqnL5u4w==
[FMW.LIGHT] ERROR 2020-08-14 13:39:35,280 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aBwx2LnerB/8asWgLVgCW7Pg5mJLzfxdQgsaewQ==
[FMW.LIGHT] ERROR 2020-08-14 13:39:35,420 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDZralSWSgE8+9fX/LYLrKm3Xy873EapOreqO8ULjUH8YGSw3a9mvYAHuBvFWHnd68H6Qn+qNFneb3A+pGxLH4l+dm6NB8ItKPZ2Tqg==
[FMW.LIGHT] ERROR 2020-08-14 13:39:35,425 DESKTOP-RLVRLAB PID:12200 THID:14044 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDMnX0+0QinwKNBe4OBykD/i3pP8xwlLe5xAGew==
[FMW.LIGHT] ERROR 2020-08-14 13:40:04,216 DESKTOP-RLVRLAB PID:12200 THID:14040 ID:8FCFB221_6835_42AB_AE5D_D5A0C6F0B544:42.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aCrCXUf5H5h741vnWPJxASf5S4PZEbl+MuVN0zdoVJxpTY/q4YBTYIvfZDj+V2QC3ir8FqBLnosVKXqXYoegcwue31meaJe0b+76fgw==
[FMW.LIGHT] ERROR 2020-08-14 13:40:04,216 DESKTOP-RLVRLAB PID:12200 THID:14040 ID:544cc0ee-7f08-411a-80dd-6f6dd4fe88e0:317.232558.45528ffff3d399d5013ab164ceeb1d97527dfe1c.4 MSG:aDZrajz+UjBg+md3rJIP/LWaR68KrROh01Yj/ig==
